backend,n_atoms,cutoff,threads,update_s_median,update_s_min,peak_mb,system,first_call_s,tracemalloc_mb,n_repeats,status
matscipy-neighbours-device,4000,5.0,1,4.8231268010567874e-05,4.5773471356369555e-05,2245.90625,cubic,0.00016151904128491879,0.0002498626708984375,5,ok
alchemi-gpu,4000,5.0,1,0.00026932990294881165,0.0002687098276510369,2245.90625,cubic,0.0005496470257639885,0.0038099288940429688,5,ok
vesin-gpu,4000,5.0,1,0.00015657226686016656,0.00015119451563805342,2245.90625,cubic,0.1018362978938967,0.0023717880249023438,5,ok
matscipy-neighbours-device,32000,5.0,1,4.758742215926759e-05,4.658165562432259e-05,2245.90625,cubic,0.00017902604304254055,0.0002498626708984375,5,ok
alchemi-gpu,32000,5.0,1,0.0002729661100602243,0.0002711877350520808,2245.90625,cubic,0.0005965230520814657,0.0038099288940429688,5,ok
vesin-gpu,32000,5.0,1,0.00042097978075616993,0.00041894926471286453,2245.90625,cubic,0.043884703889489174,0.0023717880249023438,5,ok
matscipy-neighbours-device,108000,5.0,1,0.00014895603089826182,0.00014630970326834358,2245.90625,cubic,0.0004070319700986147,0.0002498626708984375,5,ok
alchemi-gpu,108000,5.0,1,0.0002700938748603221,0.0002693650640139822,2245.90625,cubic,0.0005432539619505405,0.0038099288940429688,5,ok
vesin-gpu,108000,5.0,1,0.0012230955762788653,0.0012194782939332072,2245.90625,cubic,0.045281299855560064,0.0023717880249023438,5,ok
